Name,Symbol,Date,High,Low,Open,Close,Volume
Ethereum,ETH,07/08/2015,3.53661,2.52112,2.83162,2.77212,164329
Ethereum,ETH,08/08/2015,2.79881,0.714725,2.79376,0.753325,674188
Ethereum,ETH,09/08/2015,0.87981,0.629191,0.706136,0.701897,532170
Ethereum,ETH,10/08/2015,0.729854,0.636546,0.713989,0.708448,405283
Ethereum,ETH,11/08/2015,1.13141,0.663235,0.708087,1.06786,1463100
Ethereum,ETH,12/08/2015,1.28994,0.883608,1.05875,1.21744,2150620
Ethereum,ETH,13/08/2015,1.96507,1.17199,1.22224,1.82767,4068680
Ethereum,ETH,14/08/2015,2.26188,1.75475,1.81092,1.82787,4637030
Ethereum,ETH,15/08/2015,1.87724,1.57098,1.80289,1.6889,2554360
Ethereum,ETH,16/08/2015,1.69524,1.08981,1.68435,1.56603,3550790
Ethereum,ETH,17/08/2015,1.58119,1.18534,1.58119,1.20361,1942830
Ethereum,ETH,18/08/2015,1.33116,1.08705,1.2153,1.08705,1485680
Ethereum,ETH,19/08/2015,1.31799,1.16693,1.16693,1.25886,1486240
Ethereum,ETH,20/08/2015,1.5333,1.24833,1.25118,1.46492,2843760
Ethereum,ETH,21/08/2015,1.55642,1.3528,1.47752,1.39529,2020970
Ethereum,ETH,22/08/2015,1.47641,1.35268,1.39629,1.37923,948310
Ethereum,ETH,23/08/2015,1.4097,1.29777,1.375,1.35259,1589300
Ethereum,ETH,24/08/2015,1.36278,1.23127,1.34559,1.23127,924920
Ethereum,ETH,25/08/2015,1.24182,1.12865,1.22861,1.14019,1307180
Ethereum,ETH,26/08/2015,1.20248,1.06183,1.13279,1.15998,1056750
Ethereum,ETH,27/08/2015,1.18883,1.13729,1.16981,1.1477,686662
Ethereum,ETH,28/08/2015,1.20779,1.1205,1.14766,1.19138,721872
Ethereum,ETH,29/08/2015,1.20721,1.14949,1.19353,1.18255,375377
Ethereum,ETH,30/08/2015,1.36799,1.17061,1.18299,1.31927,1337650
Ethereum,ETH,31/08/2015,1.39615,1.20101,1.32138,1.35824,1447180
Ethereum,ETH,01/09/2015,1.39274,1.33663,1.35348,1.35161,778862
Ethereum,ETH,02/09/2015,1.35491,1.26462,1.35157,1.29479,883769
Ethereum,ETH,03/09/2015,1.30999,1.21103,1.29519,1.26493,702991
Ethereum,ETH,04/09/2015,1.30252,1.23681,1.26493,1.27441,474391
Ethereum,ETH,05/09/2015,1.3423,1.27119,1.28056,1.33881,448453
Ethereum,ETH,06/09/2015,1.37364,1.29425,1.33801,1.29583,491968
Ethereum,ETH,07/09/2015,1.30548,1.23785,1.2959,1.24665,489014
Ethereum,ETH,08/09/2015,1.28238,1.23061,1.24665,1.24243,427892
Ethereum,ETH,09/09/2015,1.26048,1.20184,1.23935,1.20651,366748
Ethereum,ETH,10/09/2015,1.22157,1.13615,1.20761,1.16577,662782
Ethereum,ETH,11/09/2015,1.16907,0.940675,1.16497,0.982978,1942600
Ethereum,ETH,12/09/2015,1.11489,0.96978,0.987228,1.03874,772430
Ethereum,ETH,13/09/2015,1.0427,0.902832,1.04178,0.936003,644138
Ethereum,ETH,14/09/2015,0.949387,0.87176,0.940566,0.875622,741085
